step,n_total,n_food_edges,n_pred_edges,n_direct,n_inp_out,n_new,n_lost,c0_eat,c1_eat,diff
100,66,4,4,2,12,62,49,0.0,0.25,-0.25
200,63,5,5,1,20,62,52,0.5,nan,nan
300,56,4,4,0,6,54,51,0.5,0.2,0.3
400,62,7,4,1,8,59,50,0.0,0.3333333333333333,-0.3333333333333333
500,57,0,6,0,6,54,50,0.2222222222222222,0.0,0.2222222222222222
600,40,3,4,1,2,39,52,0.0,0.25,-0.25
700,58,3,5,2,9,57,52,0.25,0.0,0.25
800,58,3,5,2,7,56,51,nan,0.25,nan
900,65,1,3,0,20,61,49,0.15384615384615385,0.0,0.15384615384615385
1000,60,2,6,0,3,57,50,0.2,nan,nan
1100,60,3,2,2,11,56,49,1.0,0.0,1.0
1200,60,3,1,1,16,56,49,1.0,nan,nan
1300,53,2,1,0,9,52,52,0.0,0.16666666666666666,-0.16666666666666666
1400,55,2,4,1,6,53,51,0.0,0.0,0.0
1500,61,1,2,2,9,58,50,1.0,0.16666666666666666,0.8333333333333334
1600,63,1,7,3,7,60,50,0.3333333333333333,0.14285714285714285,0.19047619047619047
1700,65,3,1,2,20,65,53,0.0,0.2857142857142857,-0.2857142857142857
1800,62,1,5,1,4,62,53,0.2857142857142857,0.0,0.2857142857142857
1900,69,6,5,1,10,67,51,0.0,0.2,-0.2
2000,47,0,1,1,4,46,52,0.14285714285714285,0.6,-0.45714285714285713
2100,70,4,2,1,4,70,53,1.0,1.0,0.0
2200,48,2,4,0,3,45,50,0.0,0.6,-0.6
2300,69,0,5,1,10,67,51,0.0,0.5,-0.5
2400,46,1,3,0,5,46,53,0.0,0.0,0.0
2500,53,4,3,1,4,50,50,0.25,0.2222222222222222,0.02777777777777779
2600,61,3,3,1,7,61,53,0.25,0.0,0.25
2700,72,5,4,1,12,68,49,1.0,0.125,0.875
2800,70,4,5,2,25,69,52,0.0,0.6666666666666666,-0.6666666666666666
2900,53,3,3,0,6,51,51,0.0,0.5,-0.5
3000,64,4,1,1,8,63,52,0.0,0.0,0.0
3100,50,5,4,2,3,48,51,0.14285714285714285,0.0,0.14285714285714285
3200,52,1,4,3,4,49,50,nan,0.0,nan
3300,62,1,2,1,1,62,53,0.3333333333333333,0.0,0.3333333333333333
3400,68,0,4,1,4,66,51,1.0,nan,nan
3500,78,1,3,0,15,76,51,0.2,0.0,0.2
3600,63,2,4,2,16,59,49,0.2,0.0,0.2
3700,72,2,6,0,12,72,53,0.25,1.0,-0.75
3800,61,1,2,0,8,57,49,0.3333333333333333,0.0,0.3333333333333333
3900,62,2,2,2,13,61,52,0.0,nan,nan
4000,62,3,1,0,7,60,51,0.5,nan,nan
4100,52,2,1,0,4,49,50,0.0,0.25,-0.25
4200,58,5,3,1,1,56,51,0.0,0.2222222222222222,-0.2222222222222222
4300,51,1,1,0,0,49,51,0.0,0.07142857142857142,-0.07142857142857142
4400,49,4,1,0,9,47,51,0.0,0.36363636363636365,-0.36363636363636365
4500,56,1,1,0,5,53,50,0.0,0.3333333333333333,-0.3333333333333333
4600,55,1,1,0,2,55,53,0.3333333333333333,0.125,0.20833333333333331
4700,45,4,0,1,1,44,52,0.0,0.1111111111111111,-0.1111111111111111
4800,56,2,2,0,9,52,49,0.0,0.2857142857142857,-0.2857142857142857
4900,61,6,4,1,20,59,51,0.5,0.2,0.3
5000,55,1,4,0,4,53,51,0.0,0.1,-0.1
