seed,new_surv__n_edges,new_surv__clustering,new_surv__n_cycles,new_surv__path_count,new_surv__cos_int,new_surv__cos_out,new_surv__depth_out,new_surv__ablation,new_non__n_edges,new_non__clustering,new_non__n_cycles,new_non__path_count,new_non__cos_int,new_non__cos_out,new_non__depth_out,new_non__ablation,old_surv__n_edges,old_surv__clustering,old_surv__n_cycles,old_surv__path_count,old_surv__cos_int,old_surv__cos_out,old_surv__depth_out,old_surv__ablation,old_non__n_edges,old_non__clustering,old_non__n_cycles,old_non__path_count,old_non__cos_int,old_non__cos_out,old_non__depth_out,old_non__ablation,c1_ratio,c2_diff,c3_diff,pass_c1,pass_c2,pass_c3
42,267.6,0.84399,500,940.2,0.00841224,0.0329289,10.91,2.7819e-08,262.667,0.915645,500,1300.33,0.0583856,0.125586,7.58333,0.0878069,362.7,0.998947,500,2000,0.00451888,0.00425008,1.055,4.78899e-11,359.667,1,500,2000,0.00990428,0.00254783,1.1,2.70525e-11,8.58159,-0.0878069,0.119656,1,1,1
43,241,0.831056,500,666.667,0.00178492,0.00184935,13.7833,0.413598,246.667,0.861032,500,1500,0.0239838,0.000105711,6.33333,0.19614,349.3,0.982196,500,2000,0.0160072,0.00137615,1.11,7.49104e-10,342,0.973277,500,2000,0.0151691,0.000331611,1.15,1.99375e-10,8.90118,0.217458,0.131693,1,0,1
44,254.333,0.840167,500,900,0.00484037,0.00014696,11.4667,1.1197e-07,240,0.839115,500,1700.33,0.0173151,0.000811534,4.08333,0.0647329,356.2,0.98818,500,2000,0.00909096,0.0118165,1.1,4.70802e-11,351.333,0.985678,500,2000,0.00259762,0.0352976,1.11667,2.95642e-11,7.01504,-0.0647328,0.147288,1,1,1
45,214.5,0.78535,500,705.375,0.011259,0.00990237,12.6062,0.239831,214.333,0.809222,500,1067.33,0.0021696,0.0199225,9.65,0.263027,280.9,0.92629,500,1750,0.00472885,0.000797142,3.905,0.100957,272.667,0.939809,500,2000,0.0143369,0.00190781,1.68333,0.132017,3.98263,-0.0231958,0.135764,1,1,1
46,240,0.849314,500,1200,0.00538311,0.000442722,9.01667,0.247892,233.333,0.858384,500,1066.67,0.00415665,0.00803281,10.2,0.295413,246.286,0.848462,500,1814.43,0.0401169,0.00777993,2.86429,0.0298597,240,0.824944,500,1829.67,0.027589,0.0441408,3.05,0.0386199,3.24919,-0.047521,-0.0171459,1,1,0
47,208.667,0.764914,500,600,0.0020907,0.00184144,14.475,0.320518,205.667,0.782582,500,1034,7.48936e-06,0.0141643,10.0667,0.443297,337.1,0.977195,500,1900,0.041471,0.0235003,2.125,8.6551e-10,329.333,0.980857,500,2000,0.0479588,0.0341227,1.26667,8.78367e-10,7.23587,-0.122779,0.205277,1,1,1
48,269.4,0.871183,500,960,0.00858489,0.000345243,10.91,1.82605e-08,265.333,0.933938,500,1700.33,0.0153757,0.0762583,4,0.0727293,309.8,0.960283,500,1950,0.0661481,0.0133879,1.655,3.79487e-09,314.333,0.9716,500,2000,0.036717,0.00841781,1.2,1.15047e-10,5.22242,-0.0727292,0.063381,1,1,1
49,208.429,0.748868,500,557.714,0.00250114,0.011328,14.3571,0.365725,209,0.765456,500,910.333,0.00029767,0.0163298,10.5667,0.285268,341,0.978111,500,1950,0.00605338,0.0105628,1.62,2.25047e-10,339.667,0.987172,500,2000,0.00306282,0.0339412,1.15,3.76304e-10,8.99777,0.0804563,0.225479,1,0,1
50,268.6,0.861471,500,1080.2,0.00993566,0.0344405,9.65,0.0205838,266,0.899412,500,1833.33,0.00186376,0.0603617,3.11667,0.0759316,282.25,0.898814,500,1837.88,0.000557173,0.000616445,2.75625,0.224273,276.333,0.926372,500,1833.33,0.00156723,0.00141146,3.13333,0.109213,2.16767,-0.0553478,0.032152,0,1,1
51,266.667,0.859172,500,1033.67,0.0215701,0.00102443,9.975,0.00786974,265.333,0.93326,500,1733.33,0.043906,0.0558405,4.06667,0.0616721,298.5,0.951791,500,1890.1,0.00182492,0.000197776,2.41,5.48369e-07,293.667,0.951723,500,2000,0.00546792,0.000464021,1.53333,6.61327e-07,3.56086,-0.0538023,0.0555412,1,1,1
