seed,mean_cosine_dist,min_p,best_steps,depl,cos_01,cos_02,cos_03,cos_12,cos_13,cos_23,p_01,p_02,p_03,p_12,p_13,p_23,act_ctx0_act0,act_ctx0_act1,act_ctx0_act2,act_ctx0_act3,act_ctx0_act4,act_ctx1_act0,act_ctx1_act1,act_ctx1_act2,act_ctx1_act3,act_ctx1_act4,act_ctx2_act0,act_ctx2_act1,act_ctx2_act2,act_ctx2_act3,act_ctx2_act4,act_ctx3_act0,act_ctx3_act1,act_ctx3_act2,act_ctx3_act3,act_ctx3_act4,dom_ctx0,dom_ctx1,dom_ctx2,dom_ctx3
42,0.027189,0.000000,21.8,0.1489,0.002928,0.018455,0.055680,0.021620,0.050062,0.014391,0.557742,0.000000,0.000000,0.000000,0.000000,0.463113,0.0800,0.0000,0.2800,0.0000,0.6400,0.0400,0.0000,0.0000,0.0000,0.9600,0.9600,0.0000,0.0400,0.0000,0.0000,0.8400,0.1200,0.0000,0.0400,0.0000,食事,食事,北,北
43,0.040937,0.004371,35.0,0.1499,0.000043,0.062162,0.059604,0.063161,0.060397,0.000252,0.931901,0.024076,0.010217,0.009942,0.004371,0.503636,0.4800,0.0800,0.0000,0.0400,0.4000,0.6000,0.0000,0.0000,0.0000,0.4000,0.0000,0.0000,0.0000,0.3600,0.6400,0.0000,0.1200,0.0000,0.2400,0.6400,北,北,食事,食事
44,0.000740,0.000000,29.6,0.1799,0.001142,0.000646,0.000307,0.000092,0.001306,0.000949,0.000004,0.000277,0.862633,0.270900,0.000000,0.000007,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0400,0.7600,0.0000,0.2000,0.0000,0.0400,0.9200,0.0400,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,西,西,西,西
45,0.030001,0.155496,30.4,0.2326,0.033536,0.033232,0.020290,0.000105,0.045327,0.047513,0.582507,0.448165,0.278743,0.253062,0.155496,0.763834,0.3600,0.0000,0.5600,0.0800,0.0000,0.0400,0.0400,0.8800,0.0400,0.0000,0.2000,0.0800,0.6000,0.1200,0.0000,0.2400,0.0000,0.7600,0.0000,0.0000,西,西,西,西
46,0.002893,0.000001,32.8,0.2011,0.000052,0.004560,0.004073,0.004468,0.004050,0.000154,0.657160,0.000001,0.000036,0.000002,0.000046,0.342202,0.0400,0.6400,0.0000,0.3200,0.0000,0.0000,0.6400,0.0000,0.3200,0.0400,0.2800,0.3200,0.0000,0.4000,0.0000,0.3200,0.2800,0.0000,0.4000,0.0000,南,南,東,東
47,0.041703,0.000000,26.4,0.2562,0.062281,0.049138,0.003102,0.001507,0.075528,0.058662,0.000159,0.000000,0.000007,0.002540,0.023054,0.671828,0.0000,1.0000,0.0000,0.0000,0.0000,0.1200,0.2800,0.6000,0.0000,0.0000,0.1600,0.6000,0.2400,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,南,西,南,南
48,0.018198,0.000057,38.0,0.5000,0.009150,0.037963,0.021517,0.012662,0.015040,0.012857,0.103425,0.212398,0.042479,0.000812,0.000057,0.284727,0.0000,0.6400,0.3200,0.0000,0.0400,0.0400,0.2000,0.3600,0.0800,0.3200,0.2000,0.0000,0.2800,0.2000,0.3200,0.0400,0.0000,0.8400,0.0000,0.1200,南,西,食事,西
49,0.005808,0.000007,27.8,0.2502,0.000173,0.008971,0.009825,0.007491,0.007967,0.000421,0.619868,0.000057,0.001156,0.000007,0.000247,0.566116,0.2400,0.2000,0.2800,0.0000,0.2800,0.1600,0.2000,0.2000,0.2400,0.2000,0.0800,0.0000,0.0800,0.8400,0.0000,0.0800,0.0800,0.0400,0.8000,0.0000,西,東,東,東
50,0.004215,0.012779,26.6,0.3933,0.006387,0.005122,0.000468,0.000673,0.007371,0.005268,0.012779,0.054982,0.609759,0.544807,0.036388,0.135784,0.1600,0.0000,0.6800,0.1200,0.0400,0.1200,0.1200,0.5200,0.2400,0.0000,0.1600,0.0400,0.6000,0.1600,0.0400,0.1200,0.0000,0.6000,0.1200,0.1600,西,西,西,西
51,0.011456,0.000200,27.4,0.4067,0.016242,0.018125,0.000454,0.000627,0.016190,0.017097,0.896894,0.013858,0.000200,0.018351,0.000275,0.128010,0.0000,0.4000,0.0000,0.6000,0.0000,0.0000,0.2800,0.1200,0.6000,0.0000,0.0000,0.2800,0.3600,0.3600,0.0000,0.0000,0.6000,0.0000,0.4000,0.0000,東,東,西,南
